modality,query,answer,pdf,page
table,How much did Pendleton County spend out of their COVID-19 fund for the month of April 2021?,$205.43 ,1003421,2
table,How many units are occupied by single families of Klamath county in 2009?,5,1008059,6
table,"In the Klamath county, what is the total valuation of construction for census code 434 in 2009?","768,235 USD",1008059,6
table,How much did Nalco pay GRIDCO for electricity at captive power plant in the year 2010-11?,Rs. 6519.61 lakhs,1011810,21
table,How much coal is used at Alumina refinery of Nalco in the year 2011-12?,"1,105,716 tonnes",1011810,21
table,What is the interest cost on gratuity at Nalco in the fiscal year 2012?,19.6,1011810,74
table,"In fiscal year 2012, how much were the salaries and wages at Nalco?",Rs. 891.86 crores,1011810,74
table,"How much Earmarked funds does Mishra Badhai & Associates have for PATANG on March 31, 2014?","Rs. 3,541,436.00",1022784,19
table,What is the beginning balance of the Pinal County Treasurer's account in December 2017?,"259,231.43",1048308,61
table,"While calculating the total income of Sutlej Textiles and Industries Limited for year 2019, what sources are included?","1) Revenue from operations, 2) Other income",1050851,1
table,"In the city of Humble, how many incident reports did the fire department receive on October 10, 2017?",7,1054125,17
table,In Geotech Engineering and Testing what is the unit rate for vehicle charge ?,$7.50 ,1057021,47
table,"What was the total capital assets balance of the Town of Johnstown, Colorado at the end of FY16?","$11,422,841 ",1057315,104
table,"How much is the value of Depreciation in the drainage fund in Johnston, CO?","5,752",1057315,90
table,How much did Brick Board of Education spent in total on central services for the fiscal year 2017?,"$1,052,920.03 ",1061589,39
table,What was the total expenditure of Brick Board of Education on custodial services for fiscal year 2017?,"$5,483,706.31 ",1061589,39
table,What was the estimated population in Seattle in the year 2012?,"616,500",1061646,58
table,How many hours will be invested in the plans & specifications of the 2021 Pavement Rehabilitation Project in the city of Benicia?,18,1067588,61
table,What is the total estimated cost for the 2021 Pavement Rehabilitation Project in the city of Benicia?,"$163,965 ",1067588,61
table,What was the local tax rate of the town of Newton in 2016? ,1.427,1068798,3
table,what was the municipal tax rate in the town of Newton in 2015?,1.3948,1068798,3
table,"In Jackson County, what are the total expenditures of housing authority for the year 2013-14?","$131,970 ",1071056,73
table,"How much fund was disbursed by the city of Southaven on ""Travel and Training"" in the first quarter of the year 2015?","4,572.19 USD",1073013,115
table,On what street is the Hamilton Hotel located in the Central District?,Telegraph Avenue,1077956,90
table,How many hotels are located in the central district?,31,1077956,90
table,"According to the 2020 WO-WAS fund report, how much was spent on traveling by the board members in the month of February?",96.47 Dollars.,1084420,14
table,What is the discount computer magazine price of computer games for 2 years?,$20.95 ,1092414,14
table,"For fiscal year 2014-2015, what all liabilities are included to calculate the total balance of other noncurrent liabilities of the city of Rochester, New York?","NYS Canal Corp. Lease, Workers' Compensation, Pollution Remediation, OPEB Liability, NYS Pension Liability Amortization",1094619,62
table,"What was the total general obligation bonds balance of the city of Rochester in New York in the beginning of the fiscal year, on July 1, 2014?","$112,686 ",1094619,62
table,What was the real GDP growth rate of Canada when its Federal government debt was between 30 to 60 percent during 1925-2009? ,4.5,1096078,19
table,"How much amount in total was carried forward to 2020 in the form of 'Revenue', by NATO Strategic Communication Center of Excellence?","109,485 USD",1096626,22
table,What is the chemical formula for Hydrazine?,H4N2,1099125,165
table,What is the total unaudited asset value of Albany County Airport Authority in 2021?,"338,136,406 USD",1102242,19
table,Which criteria decides the final net position value for Albany County Airport Authority?,"1. Invested in Capital Assets, net of Related Debt. 2. Restricted Assets 3. Unrestricted assets.",1102242,19
table,What are the total revenues of Orcutt Union School District for year 2014-15?,"27,348,429",1102324,44
table,How much did Orcutt Union School District spend in total for year 2013-14?,"24,844,254",1102324,44
table,How many actual halts occurred before trade for rolled out NYSE Arca in September 2013?,112,1106908,14
table,"In September 2013, what was the total Opening BAM for rolled out NYSE Arca?",167,1106908,14
table,How much did the Wiener Library receive in donations and legacies from end of FY14 to FY15? ,"120,990 Euro",1107310,14
table,"In FY15, what is the total income and endowments of the Wiener Library?","1,265,768 Euros",1107310,14
table,What was the usage rate of budget for water increment in FY15 for the Municipal Water District of Orange County?,78.07%,1110594,32
table,"In 1938, when does the first passenger train of Flatonia Subdivision leave Yoakum?",4:30 PM,1111073,6
table,What is the due amount of utilities in Irvine Child Care Project for October 2018?,"$7,262.75 ",1111667,35
table,How many new cases were filed for non-parking traffic misdemeanors at the City of Humble Municipal Court in May 2018?,"1,474",1113772,32
table,What is the projected monthly surplus of the Florida Department of Elder Affairs for program LSP for 2021? ,"($42,046)",1121142,0
table,"What were the total operating expenses of the Fortune Society, Inc. in FY19?","$34,706,430 ",1121870,139
table,"In FY18, how much did the Fortune Society Inc. and Affiliates spend in total for fundraising?","$1,170,464 ",1121870,139
table,How much did Headway East Lothian SCIO spend in total for charitable activities in year 2020?,"42,678.18",1126272,17
table,"In the village of Williamsville, what is the adjusted budget for grant writer in 2011?","6,500.00",1127866,12
table,"In Australia, which area observed a highest population growth rate in the year 1971 to 1981?",Australian Capital Territory,1131257,7
table,What is the average population growth rate in Australia across years 1961 to 1991?,1.70%,1131257,7
table,"What was the actual expense for engineering of the water and sewer fund of Jacksonville, NC in 2005? ","$193,278 ",1149133,166
table,"What is the total expenditure for governmental activities in the city of Jacksonville, North Carolina for the fiscal year 2006?","$30,525,484 ",1149133,254
table,What was World Vision of Ireland's total income earned from sponsorship and childcare in September 2017?,"2,188,904",1154736,48
table,Where is the registered office of Richfield Financial Services LTD? ,"33 Brabourne Road, 5th Floor, Kolkata-700 001",1155228,2
table,What was the reported current assets of Timaru Christian School in 2019? ,"87,178",1161467,5
table,"At Tomagh station, which shrub was most consumed by goats during the bloom season of 1989?",Ebenus stellatus,1162412,148
table,"In 1989, what was the overall rate of consumption of grass by goats at Tomagh station?",53.09,1162412,148
table,Who is the author of Computer Oriented Numerical Methods? ,R.S. Salaria,1164798,1
table,How many pages are in Professional Ethics and Human Values by Premvir Kapoor?,196,1164798,1
table,"How much is the net cash outflow from investing activities at the year end March 31, 2020 of Sangam Rooftop Solar Private Limited?","1,79,53,800",1175147,34
table,What was the total cost of liabilities for the Area Agency of Pasco-Pinellas Inc. for December 2020?,"$2,859,897 ",1181127,0
table,What was the total equity of Metro Alliance Holdings and Equities Corp. and Subsidiaries in 2013?,"99,969,806",1184258,143
table,What is the total revenue for transportation services in the Rural Municipality of Stanley for 2019?,"$394,200 ",1187393,21
table,"What is the total revenue for environmental health services for the year end Dec. 31, 2019, in the rural municipality of Stanley?","$131,217 ",1187393,21
table,What was the total value of PBC Limited's assets in December 2020?,"905,919",1196312,6
table,What is the total amount spent by Brick Board of Education on construction services in the year 2016?,"4,679,034.18 USD",1196756,53
table,"After the overall expenditures, what was the final available balance for Brick Board of Education in FY16?","946,248.62 USD",1196756,53
table,What was the total cash the Apache Fire District allocated to payroll in 2014?,"$633,883.97 ",1198299,39
table,How much is the ending balance for cash reconciliation as of 4/30/2014 for the Apache Fire Distrcit??,"3,153,030.34",1198299,39
table,"How much is 122 Corbett Road property of Gulf Islands, Salt Spring in 2017?","$395,000 ",1209807,158
table,What are the total expenses in Q1 2020 of Hero MotorCorp?,"5,840.73",1210932,12
table,What is the exact amount spent by the IFLS Library towards Dell Marketing L.P in October 2020?,6495.49 Dollars,1213932,9
table,How much did McPherson Center Museum spend on repairing and replacements in the year 2012 till June 30?,"105,169",1224598,26
table,What is the operating expense of the Museum of Art and History at McPherson Center in 2012?,"309,312",1224598,26
table,What is the clearance rate of criminal cases in 2019 In the Superior Court?,85%,1224605,30
table,How many case filings occurred involving mental health in the Superior Court for 2018?,"38,874",1224605,30
table,What is included in the revenues while calculating the total revenues of Orcutt Union Elementary of Santa Barbara County for year 2016-2017?,"LCFF Sources, Federal Revenues, Other State Revenue, Other Local Revenue",1238564,78
table,What was the total expenditure budget of Orcutt Union Elementary in Santa Barbara County for year 2017-2018?,15000,1238564,78
table,What was the budget for grounds and general maintenance for the Yeovil Town Council in 2017-2018? ,"222,520 Euro",1238975,1
table,What is Yeovil Town Council's total committees' budget for 2015-2016?,"848,447",1238975,1
table,What is the total audited income of Piccadily Agro Industries Ltd. at the end of the year 2021?,"49,284.75 lacs Rs.",1240123,16
table,"In FY19, what were the earnings per share of the Saudi Research and Marketing Group?",3.08,1243103,12
table,What was the gross profit of Saudi Research and Marketing Group in FY20?,"774,677,826",1243103,12
table,"During 2008-2009, what was the percentage difference between adults reported as overweight in the city of Manchester and the whole state?",0.20%,1246906,62
